TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PTNT3;12,45;;11,98;1,60;0,70;17,15;9,51;6,09;7,68;6,95;1,14;0,24;0,73;2,59;-1,43;2,11;13,32;5,83;9,21;0,44;0,47;0,96;11,78;15,14;11.879,47;7,80;1,04;-0,46;452.444.259,40
PTNT4;7,90;;7,60;1,01;0,44;17,15;9,51;6,09;4,87;6,95;1,14;0,24;0,46;1,65;-0,91;2,11;13,32;5,83;9,21;0,44;0,47;0,96;11,78;15,14;88.443,50;7,80;1,04;-0,29;452.444.259,40
QGEP3;14,54;1,03;55,89;1,00;0,47;36,94;15,75;4,27;15,16;17,65;2,49;0,16;2,39;3,73;-0,67;1,77;1,78;0,85;3,15;0,47;0,53;0,20;34,10;-28,00;;14,58;0,26;-0,59;3.864.832.398,70
QUAL3;2,49;3,18;-17,65;0,53;0,15;77,16;5,27;-2,24;7,50;21,28;13,78;0,98;0,40;3,18;-0,23;1,16;-3,02;-0,86;1,02;0,28;0,71;0,38;-1,22;;16.464.682,52;4,67;-0,14;0,15;707.195.669,25
QUSW3;0,00;;0,00;0,00;0,00;89,05;50,37;21,46;0,00;1,21;1,21;0,59;0,00;0,00;0,00;1,56;20,69;6,99;21,60;0,34;0,66;0,33;-6,67;;;88,35;18,28;0,00;0,00
QVQP3B;0,00;;0,00;0,00;0,00;;;;0,00;1,22;1,22;-0,98;;0,00;;;-68,49;-68,49;-80,14;1,00;0,00;0,00;;;;0,00;0,00;0,00;0,00
RADL3;25,84;0,76;41,13;7,76;2,29;29,98;6,28;3,28;21,50;22,71;1,20;0,43;1,35;12,26;-5,50;1,47;18,86;5,57;21,88;0,30;0,70;1,70;17,08;16,12;241.668.818,05;3,33;0,63;1,83;44.393.306.048,00
RAIL3;22,10;0,30;42,60;2,57;0,83;36,76;35,38;9,13;10,99;14,24;3,25;0,76;3,89;7,20;-1,08;1,99;6,04;1,95;10,08;0,32;0,67;0,21;10,60;;239.432.416,38;8,59;0,52;-0,04;40.992.603.772,90
RAIZ4;3,62;7,36;11,06;1,64;0,34;7,99;4,97;1,52;3,37;6,21;2,84;1,38;0,17;14,13;-0,58;1,06;14,79;3,04;14,92;0,21;0,79;2,00;;;53.137.400,90;2,21;0,33;0,07;37.476.084.332,08
RANI3;8,99;9,49;4,66;1,67;0,62;46,85;40,73;28,58;3,27;4,86;1,59;0,81;1,33;2,51;-0,93;3,91;35,81;13,31;17,18;0,37;0,63;0,47;14,44;;13.031.766,76;5,38;1,93;0,16;2.156.070.971,81
RANI4;5,50;;2,85;1,02;0,38;46,85;40,73;28,58;2,00;4,86;1,59;0,81;0,82;1,54;-0,57;3,91;35,81;13,31;17,18;0,37;0,63;0,47;14,44;;;5,38;1,93;0,10;2.156.070.971,81
RAPT3;10,75;5,41;8,52;1,20;0,28;25,06;11,93;3,72;2,66;4,85;2,14;0,97;0,32;0,91;-0,67;2,10;14,12;3,26;11,63;0,23;0,68;0,88;30,59;54,84;155.748,81;8,94;1,26;-0,38;3.612.660.331,79
RAPT4;11,09;5,25;8,78;1,24;0,29;25,06;11,93;3,72;2,74;4,85;2,14;0,97;0,33;0,94;-0,69;2,10;14,12;3,26;11,63;0,23;0,68;0,88;30,59;54,84;21.815.130,81;8,94;1,26;-0,39;3.612.660.331,79
RCSL3;1,86;;-17,07;2.041,02;3,86;12,72;8,87;-22,44;43,17;25,72;-0,01;-0,42;3,83;28,44;-7,57;1,38;-11.956,90;-22,62;4.853,10;0,00;1,00;1,01;362,53;;8.469.220,71;0,00;-0,11;-0,05;141.121.819,13
RCSL4;0,73;;-6,70;801,04;1,52;12,72;8,87;-22,44;16,94;25,72;-0,01;-0,42;1,50;11,16;-2,97;1,38;-11.956,90;-22,62;4.853,10;0,00;1,00;1,01;362,53;;3.700.087,95;0,00;-0,11;-0,02;141.121.819,13
RDNI3;4,25;3,39;6,17;0,32;0,08;23,85;3,42;5,18;9,35;47,03;37,68;1,29;0,32;0,79;-0,11;1,55;5,18;1,29;0,04;0,25;0,74;0,25;18,15;;43.366,86;13,28;0,69;0,08;186.021.684,00
RDOR3;24,72;1,49;33,17;2,49;0,59;17,33;10,55;4,21;13,22;13,70;0,48;0,09;1,40;2,01;-1,11;2,70;7,49;1,78;6,86;0,24;0,75;0,42;;;111.162.958,71;9,95;0,75;1,36;56.591.312.824,80
RECV3;22,92;4,32;7,22;1,52;0,97;37,04;31,28;32,08;7,41;7,63;0,22;0,04;2,32;49,05;-1,20;1,12;21,02;13,47;16,17;0,64;0,36;0,42;;;46.094.311,48;15,10;3,17;0,52;6.723.309.847,92
REDE3;6,81;10,44;9,88;2,46;0,54;30,10;23,48;9,43;3,97;6,78;2,81;1,74;0,93;32,48;-0,74;1,07;24,89;5,50;17,54;0,22;0,78;0,58;10,99;67,22;29.133,76;2,77;0,69;-12,59;14.371.302.176,94
RENT3;51,17;3,74;35,37;2,17;0,74;29,04;19,78;5,75;10,28;15,59;5,31;1,12;2,03;210,00;-0,93;1,02;6,13;2,09;8,55;0,34;0,66;0,36;24,03;25,03;393.423.197,33;23,59;1,45;-2,20;54.654.437.473,23
RLOG3;23,08;;82,76;4,26;0,23;34,71;29,67;1,85;5,17;12,09;6,92;5,71;1,53;1,49;-0,31;2,64;5,15;0,28;5,46;0,05;0,71;0,15;50,58;4,37;;5,41;0,28;-2,42;10.691.215.482,28
RNEW11;3,84;;0,52;0,40;0,12;12,74;321,87;254,92;0,41;1,72;1,31;1,26;1,32;-0,86;-0,12;0,19;76,22;22,51;41,54;0,30;0,70;0,09;-22,41;;34.736,24;9,71;7,40;0,00;319.339.463,68
RNEW3;1,26;;0,51;0,39;0,12;12,74;321,87;254,92;0,40;1,72;1,31;1,26;1,30;-0,84;-0,12;0,19;76,22;22,51;41,54;0,30;0,70;0,09;-22,41;;113.200,76;3,24;2,47;0,00;319.339.463,68
RNEW4;1,29;;0,52;0,40;0,12;12,74;321,87;254,92;0,41;1,72;1,31;1,26;1,33;-0,86;-0,12;0,19;76,22;22,51;41,54;0,30;0,70;0,09;-22,41;;273.957,86;3,24;2,47;0,00;319.339.463,68
ROMI3;12,58;6,63;4,81;0,98;0,49;33,04;19,20;15,83;3,96;5,72;1,76;0,44;0,76;1,41;-1,27;2,31;20,47;10,20;11,62;0,50;0,50;0,64;18,80;43,87;3.916.453,48;12,78;2,62;0,34;1.116.274.286,10
RPAD3;8,36;;21,18;0,64;0,64;;;;27,10;24,74;-2,36;-0,06;;12,29;-0,68;12,57;3,04;3,02;2,27;1,00;0,00;0,00;;-5,15;26.414,53;13,00;0,39;-0,45;707.943.768,84
RPAD5;8,05;;20,39;0,62;0,62;;;;26,09;24,74;-2,36;-0,06;;11,83;-0,65;12,57;3,04;3,02;2,27;1,00;0,00;0,00;;-5,15;15.270,31;13,00;0,39;-0,43;707.943.768,84
RPAD6;8,36;;21,18;0,64;0,64;;;;27,10;24,74;-2,36;-0,06;;12,29;-0,68;12,57;3,04;3,02;2,27;1,00;0,00;0,00;;-5,15;26.100,39;13,00;0,39;-0,45;707.943.768,84
RPMG3;2,03;;-0,17;-0,03;0,02;-13,15;-20,51;-16,72;-0,14;-0,14;0,00;;0,03;-0,03;-0,37;0,55;-16,32;-13,94;20,03;-0,85;1,85;0,83;48,30;;62.679,95;-74,73;-12,19;0,02;137.414.006,87
RRRP3;28,04;;-183,25;1,30;0,35;31,72;14,54;-0,87;11,00;23,66;12,66;1,50;1,60;116,93;-0,40;1,02;-0,71;-0,19;3,11;0,27;0,73;0,22;118,19;;130.025.042,05;21,57;-0,15;1,57;6.740.357.546,00
RSID3;3,82;;-0,15;-0,06;0,12;125,92;660,98;1.099,95;-0,25;-2,22;-1,98;;;-0,06;-0,26;0,22;-41,43;-82,60;50,63;-1,99;3,00;-0,08;;;224.256,67;-62,42;-25,86;0,00;76.400.000,00
RSUL3;0,00;;0,00;0,00;0,00;41,84;27,58;16,95;0,00;1,58;-0,54;-0,30;0,00;0,00;0,00;2,32;34,14;17,29;36,19;0,51;0,49;1,02;26,29;10,59;;29,31;10,01;0,00;209.548.995,50
RSUL4;83,98;3,47;8,39;2,87;1,45;41,84;27,58;16,95;5,16;1,58;-0,54;-0,30;1,42;4,73;-3,15;2,32;34,14;17,29;36,19;0,51;0,49;1,02;26,29;10,59;159.416,81;29,31;10,01;-4,93;209.548.995,50
SANB11;28,51;5,66;11,43;0,94;0,09;16,51;6,05;9,32;17,61;17,61;;;1,07;;-0,10;;8,25;0,83;;0,10;0,90;0,09;10,04;0,94;59.180.442,76;30,24;2,49;-0,29;106.891.560.132,01
SANB3;13,43;5,72;10,77;0,89;0,09;16,51;6,05;9,32;16,59;17,61;;;1,00;;-0,09;;8,25;0,83;;0,10;0,90;0,09;10,04;0,94;1.501.024,32;15,12;1,25;-0,27;106.891.560.132,01
SANB4;15,10;5,59;12,11;1,00;0,10;16,51;6,05;9,32;18,66;17,61;;;1,13;;-0,10;;8,25;0,83;;0,10;0,90;0,09;10,04;0,94;1.712.014,81;15,12;1,25;-0,30;106.891.560.132,01
SAPR11;26,00;5,83;5,28;0,83;0,43;60,10;36,99;24,53;3,50;5,46;1,96;0,46;1,29;9,96;-0,50;1,41;15,68;8,13;11,45;0,52;0,48;0,33;7,96;16,77;26.585.700,62;31,42;4,93;0,17;7.858.268.698,80
SAPR3;4,99;5,62;5,06;0,79;0,41;60,10;36,99;24,53;3,36;5,46;1,96;0,46;1,24;9,55;-0,48;1,41;15,68;8,13;11,45;0,52;0,48;0,33;7,96;16,77;1.450.113,29;6,28;0,99;0,16;7.858.268.698,80
SAPR4;5,21;5,93;5,29;0,83;0,43;60,10;36,99;24,53;3,51;5,46;1,96;0,46;1,30;9,97;-0,50;1,41;15,68;8,13;11,45;0,52;0,48;0,33;7,96;16,77;10.824.787,14;6,28;0,99;0,17;7.858.268.698,80
SBFG3;12,20;1,11;16,28;1,21;0,36;47,85;7,45;2,67;5,84;11,65;5,81;1,20;0,43;1,68;-0,75;1,71;7,42;2,22;8,13;0,30;0,70;0,83;26,04;-5,21;29.422.741,64;10,10;0,75;-0,34;2.973.005.556,00
SBSP3;79,58;1,60;18,26;1,84;0,92;35,05;21,66;12,29;10,36;13,42;3,05;0,54;2,24;-4.343,85;-1,05;1,00;10,07;5,05;8,62;0,50;0,50;0,41;8,59;3,41;236.516.048,48;43,30;4,36;-8,30;54.393.715.375,02
SCAR3;25,30;;38,58;0,96;0,42;47,81;36,38;4,81;5,10;10,51;5,41;1,02;1,85;1,53;-0,64;4,63;2,48;1,08;7,97;0,44;0,56;0,23;-6,96;-20,50;444.865,95;26,43;0,66;-0,24;1.460.754.170,70
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;6,32;;-5,11;0,68;0,24;50,44;3,87;-8,88;11,75;19,30;7,55;0,43;0,45;10,01;-0,30;1,13;-13,22;-4,64;3,35;0,35;0,65;0,52;6,36;;5.294.133,05;9,35;-1,24;-0,07;813.520.259,20
SEQL3;0,42;;-0,34;1,29;0,10;5,07;-29,02;-45,21;-0,52;-3,65;-3,13;7,68;0,15;-0,68;-0,13;0,64;-382,42;-28,65;-31,37;0,07;0,93;0,63;;;4.983.594,62;0,33;-1,25;0,00;163.330.799,52
SGPS3;0,92;;-0,06;0,28;0,02;2,36;-39,02;-77,23;-0,12;-2,35;-2,23;5,30;0,05;-0,05;-0,03;0,45;-470,13;-30,47;-33,93;0,06;0,94;0,39;-2,95;;297.430,19;3,31;-15,56;0,00;46.000.000,00
SHOW3;1,97;;8,44;0,87;0,19;26,58;15,48;3,86;2,10;-0,35;-2,46;-1,02;0,33;4,64;-0,61;1,06;10,30;2,25;33,65;0,22;0,77;0,58;-12,84;-18,71;361.035,38;2,27;0,23;-0,04;132.802.879,13
SHUL3;111,89;0,13;129,20;31,86;16,67;27,03;17,56;15,32;112,72;52,04;-0,06;-0,02;19,79;42,23;-48,65;2,50;24,66;12,90;16,38;0,52;0,48;0,84;24,97;50,47;;3,51;0,87;5,47;18.480.724.713,08
SHUL4;6,82;3,34;7,87;1,94;1,02;27,03;17,56;15,32;6,87;52,04;-0,06;-0,02;1,21;2,57;-2,97;2,50;24,66;12,90;16,38;0,52;0,48;0,84;24,97;50,47;3.012.036,50;3,51;0,87;0,33;18.480.724.713,08
SIMH3;7,56;0,26;127,09;1,89;0,11;28,13;18,02;0,17;1,19;7,18;5,98;9,48;0,21;0,79;-0,15;1,75;1,48;0,08;10,67;0,06;0,89;0,49;27,43;;21.778.185,86;4,01;0,06;-1,41;6.600.186.429,48
SLCE3;19,29;7,01;7,44;1,65;0,52;31,62;24,57;11,95;3,62;5,06;1,45;0,66;0,89;2,17;-1,00;1,97;22,13;6,95;18,45;0,31;0,67;0,58;34,00;26,41;51.906.380,77;11,72;2,59;-0,54;8.551.830.221,64
SLED3;3,21;;0,45;-0,08;0,48;47,85;73,94;92,71;0,56;0,95;0,65;;0,42;-0,20;-0,72;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;4.387,67;-39,57;7,15;-0,02;16.497.692,59
SLED4;1,60;;0,22;-0,04;0,24;47,85;73,94;92,71;0,28;0,95;0,65;;0,21;-0,10;-0,36;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;207.054,67;-39,57;7,15;-0,01;16.497.692,59
SMFT3;24,62;1,43;31,93;3,06;1,09;40,84;32,69;21,35;20,86;21,86;1,01;0,15;6,82;13,09;-1,48;1,47;9,59;3,43;7,57;0,36;0,64;0,16;31,49;;45.688.355,24;8,04;0,77;-0,12;14.433.285.155,18
SMLS3;22,40;;10,78;4,09;1,02;85,18;41,42;39,07;10,17;9,93;-0,24;-0,10;4,21;18,78;-2,54;1,10;37,96;9,43;24,47;0,25;0,75;0,24;;;;5,47;2,08;-0,33;2.781.160.547,20
SMTO3;26,82;4,63;7,78;1,61;0,50;30,78;37,91;19,59;4,02;6,81;2,79;1,11;1,53;3,09;-0,72;2,17;20,63;6,48;13,31;0,31;0,69;0,33;14,04;19,93;70.003.557,55;16,70;3,45;-0,77;9.494.583.843,78
SNSY3;10,50;;-0,28;-0,04;0,16;25,14;6,63;-33,10;1,40;3,88;2,23;;0,09;5,45;-0,39;1,05;-15,19;-56,19;-3,24;-3,70;4,73;1,70;16,67;;114.493,68;-245,68;-37,32;0,00;95.337.698,40
SNSY5;4,80;;-0,13;-0,02;0,07;25,14;6,63;-33,10;0,64;3,88;2,23;;0,04;2,49;-0,18;1,05;-15,19;-56,19;-3,24;-3,70;4,73;1,70;16,67;;37.974,67;-245,68;-37,32;0,00;95.337.698,40
SNSY6;13,33;;-0,36;-0,05;0,20;25,14;6,63;-33,10;1,78;3,88;2,23;;0,12;6,92;-0,49;1,05;-15,19;-56,19;-3,24;-3,70;4,73;1,70;16,67;;;-245,68;-37,32;-0,01;95.337.698,40
SOJA3;15,22;6,31;9,27;1,93;0,71;15,15;11,93;9,98;7,75;7,35;-0,40;-0,10;0,92;1,75;-2,60;2,27;20,81;7,66;10,68;0,37;0,50;0,77;53,23;;5.478.693,05;7,89;1,64;0,20;1.782.875.761,72
SOMA3;6,79;1,49;17,43;0,70;0,50;56,57;8,12;5,86;12,57;15,29;2,72;0,15;1,02;3,66;-0,72;1,76;4,00;2,84;3,69;0,71;0,29;0,49;36,69;30,81;129.310.428,64;9,73;0,39;-26,27;5.328.434.662,67
SOND3;46,01;12,04;9,09;1,97;1,17;39,48;15,86;7,34;4,21;3,52;-0,97;-0,45;0,67;3,45;-3,02;2,25;21,62;12,89;25,53;0,60;0,40;1,76;23,50;31,16;;23,41;5,06;-0,89;120.520.795,00
SOND5;50,65;12,03;10,01;2,16;1,29;39,48;15,86;7,34;4,63;3,52;-0,97;-0,45;0,73;3,80;-3,32;2,25;21,62;12,89;25,53;0,60;0,40;1,76;23,50;31,16;15.353,00;23,41;5,06;-0,98;120.520.795,00
SOND6;50,00;12,19;9,88;2,14;1,27;39,48;15,86;7,34;4,57;3,52;-0,97;-0,45;0,73;3,75;-3,28;2,25;21,62;12,89;25,53;0,60;0,40;1,76;23,50;31,16;10.001,00;23,41;5,06;-0,97;120.520.795,00
SPRI3;21,72;;-3,32;2,45;2,36;;;;-3,00;-2,46;0,17;-0,14;;4,61;-4,93;66,47;-73,82;-71,18;-81,66;0,96;0,04;0,00;;;;8,86;-6,54;-0,01;48.073.731,88
SPRI5;8,52;;-1,30;0,96;0,93;;;;-1,18;-2,46;0,17;-0,14;;1,81;-1,93;66,47;-73,82;-71,18;-81,66;0,96;0,04;0,00;;;;8,86;-6,54;0,00;48.073.731,88
SPRI6;11,00;;-1,68;1,24;1,20;;;;-1,52;-2,46;0,17;-0,14;;2,34;-2,49;66,47;-73,82;-71,18;-81,66;0,96;0,04;0,00;;;;8,86;-6,54;0,00;48.073.731,88
SPRT3B;76,40;;1.090,85;6.770,92;5.953,08;;;;772,64;772,51;-0,13;-1,14;;6.770,92;;8,28;620,70;545,73;876,33;0,88;0,12;0,00;;;;0,01;0,07;-8,90;370.531.748,80
SQIA3;27,37;0,20;-110,33;3,70;1,49;42,19;6,45;-3,26;55,72;60,18;4,46;0,30;3,59;25,87;-1,84;1,43;-3,35;-1,35;3,18;0,40;0,58;0,41;35,51;;39.651.585,00;7,40;-0,25;0,44;2.406.971.773,64
SRNA3;8,50;;102,31;1,04;0,30;32,08;29,57;1,86;6,44;16,98;10,54;1,71;1,90;-2,26;-0,33;0,48;1,02;0,29;5,17;0,28;0,72;0,15;;;11.081.266,86;8,16;0,08;;5.293.209.726,00
STBP3;10,53;3,76;22,62;4,15;1,98;46,64;31,99;20,77;14,69;14,45;-0,24;-0,07;4,70;39,90;-2,45;1,35;18,36;8,77;19,96;0,48;0,52;0,42;18,58;;52.208.082,36;2,54;0,47;-17,15;9.099.713.985,57
STKF3;0,00;;0,00;0,00;0,00;52,55;42,44;41,50;0,00;2,81;2,81;0,31;0,00;0,00;0,00;1,72;10,84;7,05;6,09;0,65;0,35;0,17;22,63;114,96;;5,70;0,62;0,00;0,00
STTR3;0,00;;0,00;0,00;0,00;31,37;17,25;14,11;0,00;-0,22;-0,22;-0,09;0,00;0,00;0,00;2,46;32,10;17,86;25,38;0,56;0,44;1,27;22,02;;;2,91;0,94;0,00;0,00
SULA11;22,25;;52,23;1,13;0,31;4,25;-3,34;0,83;-12,92;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;;19,64;0,43;-0,94;9.475.042.424,17
SULA3;7,43;;52,32;1,13;0,31;4,25;-3,34;0,83;-12,95;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,95;9.475.042.424,17
SULA4;7,63;;53,73;1,17;0,32;4,25;-3,34;0,83;-13,30;6,54;19,47;-1,71;0,44;0,88;-0,93;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,97;9.475.042.424,17
SUZB3;58,45;1,99;4,47;1,83;0,54;42,65;37,39;38,93;4,66;8,21;3,55;1,39;1,74;3,09;-0,74;2,82;40,79;12,03;9,58;0,29;0,70;0,31;36,49;56,62;239.676.275,36;32,02;13,06;-0,68;76.225.674.596,75
SYNE3;7,80;;-30,35;0,79;0,30;50,09;32,30;-9,25;8,69;13,63;4,94;0,45;2,81;3,67;-0,33;4,01;-2,60;-0,97;2,94;0,38;0,36;0,11;1,23;;4.327.973,36;9,90;-0,26;0,29;1.190.626.671,00
TAEE11;34,79;6,44;10,47;1,80;0,62;68,87;71,85;44,57;6,50;11,05;4,55;1,26;4,67;4,50;-0,79;2,71;17,20;5,89;10,64;0,34;0,66;0,13;19,43;12,03;61.959.928,86;19,31;3,32;-0,27;11.985.116.974,53
TAEE3;11,48;6,51;10,37;1,78;0,61;68,87;71,85;44,57;6,43;11,05;4,55;1,26;4,62;4,45;-0,78;2,71;17,20;5,89;10,64;0,34;0,66;0,13;19,43;12,03;1.590.736,82;6,44;1,11;-0,27;11.985.116.974,53
TAEE4;11,67;6,40;10,54;1,81;0,62;68,87;71,85;44,57;6,54;11,05;4,55;1,26;4,70;4,53;-0,79;2,71;17,20;5,89;10,64;0,34;0,66;0,13;19,43;12,03;3.452.820,77;6,44;1,11;-0,28;11.985.116.974,53
TASA3;14,23;9,81;7,79;1,63;0,83;38,11;17,69;11,80;5,20;6,22;1,04;0,33;0,92;3,69;-2,01;1,62;20,87;10,66;14,49;0,51;0,49;0,90;29,58;;201.213,64;8,75;1,83;-0,13;1.797.196.648,62
TASA4;14,17;9,85;7,76;1,62;0,83;38,11;17,69;11,80;5,17;6,22;1,04;0,33;0,92;3,68;-2,01;1,62;20,87;10,66;14,49;0,51;0,49;0,90;29,58;;4.253.501,32;8,75;1,83;-0,13;1.797.196.648,62
TCNO3;1,20;;-7,52;-8,40;0,03;;;;-6,81;-34,51;-28,98;;;-0,08;-0,04;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,28;6.451.072,50
TCNO4;0,85;;-5,33;-5,95;0,02;;;;-4,82;-34,51;-28,98;;;-0,06;-0,03;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,20;6.451.072,50
TCSA3;2,85;;12,70;0,35;0,14;13,97;8,98;4,08;5,77;20,68;14,91;0,92;0,52;0,40;-0,28;2,97;2,79;1,07;1,99;0,38;0,62;0,26;-5,08;;209.261,05;8,03;0,22;-0,10;209.814.805,50
TECN3;3,20;4,76;4,30;0,60;0,35;55,00;17,30;15,45;3,84;3,54;-0,30;-0,05;0,66;0,70;-1,00;4,30;13,89;8,11;11,06;0,58;0,42;0,52;0,65;;540.613,64;5,36;0,74;0,09;226.899.888,00
TEKA3;10,30;;-0,03;0,00;0,00;19,20;-34,33;-52,84;-0,05;-5,67;-5,52;;0,02;0,00;-0,01;0,04;-7,43;-13,24;6,67;-1,78;2,78;0,25;15,05;;1.438,00;-4.039,83;-299,99;0,00;14.971.504,50
TEKA4;39,50;;-0,13;-0,01;0,02;19,20;-34,33;-52,84;-0,20;-5,67;-5,52;;0,07;-0,01;-0,02;0,04;-7,43;-13,24;6,67;-1,78;2,78;0,25;15,05;;303.332,21;-4.039,83;-299,99;0,00;14.971.504,50
TELB3;15,70;;-19,97;0,85;0,34;-49,89;-3,91;-17,09;-87,25;-8,66;72,79;-0,71;3,41;1,05;-0,56;4,96;-4,28;-1,68;-0,91;0,39;0,61;0,10;36,54;;24.149,05;18,37;-0,79;0,36;1.266.017.807,10
TELB4;10,80;;-13,74;0,59;0,23;-49,89;-3,91;-17,09;-60,02;-8,66;72,79;-0,71;2,35;0,72;-0,38;4,96;-4,28;-1,68;-0,91;0,39;0,61;0,10;36,54;;57.735,82;18,37;-0,79;0,25;1.266.017.807,10
TEND3;10,07;;-28,37;1,83;0,30;20,36;3,26;-6,71;58,43;94,14;35,71;1,12;1,90;6,27;-0,52;1,12;-6,46;-1,05;0,49;0,16;0,84;0,16;-17,27;;29.367.053,86;5,50;-0,35;0,31;1.239.559.057,22
TESA3;48,00;;-13,30;1,62;0,52;15,86;9,39;-7,58;10,73;17,39;6,66;1,01;1,01;-11,10;-0,74;0,86;-12,18;-3,94;3,93;0,32;0,68;0,52;7,32;;;29,64;-3,61;0,83;1.389.696.672,00
TFCO4;12,75;0,84;106,34;30,96;19,48;58,03;22,31;17,59;83,84;14,49;0,38;0,14;18,70;40,15;-67,35;3,15;29,11;18,32;25,18;0,63;0,37;1,04;22,58;27,50;1.535.305,64;0,41;0,12;6,05;2.036.404.519,13
TGMA3;26,25;4,46;9,26;2,11;1,49;19,68;14,88;12,15;7,56;7,17;-0,39;-0,11;1,13;4,36;-2,95;3,20;22,82;16,04;17,56;0,70;0,30;1,32;4,80;12,51;3.981.363,05;12,42;2,83;0,22;1.732.576.518,75
TIET11;12,54;;4,38;2,25;0,46;74,66;61,76;49,46;3,51;7,15;3,64;2,34;2,16;1.031,49;-0,52;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;5,57;2,87;0,02;5.004.795.800,93
TIET3;3,49;;6,09;3,13;0,64;74,66;61,76;49,46;4,88;7,15;3,64;2,34;3,01;1.435,37;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIET4;3,51;;6,13;3,15;0,64;74,66;61,76;49,46;4,91;7,15;3,64;2,34;3,03;1.443,59;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIMS3;18,15;5,01;19,16;1,72;0,79;51,02;17,14;9,81;10,96;11,06;0,10;0,02;1,88;-15,24;-0,97;0,79;8,97;4,10;12,16;0,46;0,54;0,42;5,81;13,18;126.932.294,09;10,56;0,95;2,83;43.937.599.823,70
TKNO3;69,63;;7,65;0,73;0,58;21,80;14,53;10,30;5,43;4,16;-1,21;-0,16;0,79;1,53;-1,28;3,23;9,55;7,56;11,32;0,79;0,21;0,73;19,94;;;95,24;9,10;-0,16;203.038.054,63
TKNO4;68,00;4,64;7,47;0,71;0,57;21,80;14,53;10,30;5,30;4,16;-1,21;-0,16;0,77;1,49;-1,25;3,23;9,55;7,56;11,32;0,79;0,21;0,73;19,94;;20.458,33;95,24;9,10;-0,15;203.038.054,63
TOTS3;30,76;1,43;24,83;4,03;2,17;70,36;17,31;18,09;25,94;24,10;-1,84;-0,29;4,49;7,44;-3,87;2,97;16,23;8,73;8,68;0,54;0,43;0,48;11,23;52,41;140.728.459,95;7,64;1,24;0,40;18.984.554.647,56
TOYB3;2,29;;-43,94;-4,97;4,03;24,06;-10,70;-10,96;-45,00;-47,62;-0,63;;4,81;-5,93;-11,89;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,47;71.890.222,22
TOYB4;2,50;;-47,96;-5,43;4,40;24,06;-10,70;-10,96;-49,12;-47,62;-0,63;;5,26;-6,47;-12,98;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,52;71.890.222,22
TPIS3;3,98;;-2,81;0,20;0,06;10,26;-1,06;-6,50;-17,29;-167,25;-149,96;1,77;0,18;-0,46;-0,06;0,27;-7,27;-2,20;-4,18;0,30;0,70;0,34;-5,55;;193.639,82;19,50;-1,42;0,00;175.120.000,00
TRAD3;0,89;;-2,17;0,52;0,49;26,23;-137,01;-203,14;-3,22;-1,86;1,36;-0,22;4,41;2,20;-0,68;4,63;-24,05;-22,54;-18,15;0,94;0,06;0,11;;;760.210,43;1,70;-0,41;-0,02;249.330.952,82
TRIS3;5,02;2,73;8,78;0,70;0,35;24,05;30,15;11,03;3,21;5,82;2,61;0,57;0,97;0,72;-1,40;2,82;8,01;3,96;11,10;0,49;0,49;0,36;11,47;24,98;2.383.230,23;7,14;0,57;0,10;936.820.040,76
